,evaluations,theory (real),theory (imag),sim (real),sim (imag),exp (real),exp (imag)
26,-4.649557127312894,0.23964002360986922,-0.10234765112795424,0.179670540160899,-0.07419231260375436,0.2069755600814661,-0.05473523421588625
27,-4.586725274241099,0.2581680627581786,-0.08363195477345539,0.18324607329842935,-0.05350529945090021,0.2288696537678206,0.06771894093686323
28,-4.523893421169302,0.27539408875094307,-0.06242660528396424,0.19703741540033198,-0.05963478482952378,0.22097759674134393,0.058808553971486405
29,-4.461061568097507,0.29101402782946784,-0.038801822120379574,0.2274294470693397,-0.026944196143532106,0.27240325865580417,-0.015274949083503415
30,-4.39822971502571,0.3047243905482202,-0.012863613935937119,0.21721363810496752,-0.02617801047120416,0.2013747454175149,0.0015274949083500249
31,-4.335397861953915,0.3162264337161675,0.01524556334478372,0.26420635934108033,0.02566722002298555,0.2528004073319753,-0.07102851323828958
32,-4.272566008882119,0.3252304710036044,0.04534663286198257,0.2634401736687525,0.05044055676158854,0.17820773930753533,-0.03513238289205735
33,-4.209734155810323,0.33146027536160094,0.07722423233712622,0.2688034733750479,0.05095134720980726,0.24363543788187353,0.0992871690427695
34,-4.1469023027385274,0.3346575127130792,0.11062757677648583,0.2861703486144809,0.0859404929127825,0.29226069246435815,0.0916496945010181
35,-4.084070449666731,0.33458614350236854,0.1452718590903356,0.26624952113395484,0.10407355382454342,0.1924643584521382,0.023167006109979252
36,-4.0212385965949355,0.3310367267046987,0.1808401916589565,0.27161282084025035,0.14927850849189123,0.2077393075356412,0.2354887983706719
37,-3.9584067435231396,0.32383055985695214,0.21698608386943208,0.26548333546162683,0.18503383986719446,0.16827902240325845,0.1272912423625252
38,-3.8955748904513436,0.31282358862063137,0.2533364424478121,0.26267398799642444,0.20955178138168817,0.2606924643584519,0.251272912423625
39,-3.832743037379548,0.29791002035731307,0.289495073143305,0.2274294470693397,0.22053377601838847,0.23090631364562098,0.05244399185336015
40,-3.769911184307752,0.27902557819999596,0.32504665411260236,0.2412207891712425,0.2767207253224364,0.1433299389002033,0.2698574338085537
41,-3.7070793312359562,0.25615033513881286,0.35956114333342526,0.2261524709487932,0.2948537862341975,0.13849287169042745,0.2892057026476575
42,-3.6442474781641603,0.2293110716879747,0.39259857467735065,0.17558421657515,0.31962712297280044,0.1950101832993887,0.1334012219959264
